List,Card Name,Description,Labels
Phase 2 — Fan Out,P2-P3-1 Dashboard / triage home,"WHAT: Clinician landing page: exception-driven roster answering 'who needs me now?' — patients with low adherence, symptom flags, or new FDA info; sortable/filterable. Renders inside P2 shell.
DONE WHEN: Loads patients with computed adherence + flags; sorts worst-first.
TEST: Seed one patient with missed doses -> they sort to the top with a red badge; a fully-adherent patient shows green and sorts down.","P3,Web"
Phase 2 — Fan Out,P2-P3-2 Case detail view,"WHAT: Single tabbed pane per case: tabs for Medications, Adherence, Recommendations, Check-ins. Pulls the case + its children (read/monitor; authoring lives in P2 screens).
DONE WHEN: Opening a case shows all four tabs populated from the API.
TEST: Open a case with meds + logged doses + a check-in -> each tab shows the right data; an empty case shows empty states per tab.","P3,Web"
Phase 2 — Fan Out,P2-P3-3 Adherence charts,"WHAT: Visualize adherence over time (Recharts): taken vs missed vs skipped, plus a rate %, from GET /patients/{id}/adherence; a missed-dose breakdown.
DONE WHEN: The chart reflects real logged doses and updates on new data.
TEST: Log 8 taken + 2 missed -> chart shows 80% and the right bars; add another missed -> updates to ~73%.","P3,Web"
Phase 2 — Fan Out,P2-P3-4 Check-in review,"WHAT: Show the patient daily check-ins (feeling rating + flags) over time from GET /patients/{id}/symptoms, with a simple trend.
DONE WHEN: Check-ins render chronologically with flags highlighted.
TEST: Patient submits 'feeling worse' (P4) -> it appears in the review with a flag within a refresh.","P3,Web"
Phase 2 — Fan Out,P2-P3-5 FDA safety panel display,"WHAT: Inline panel per medication calling GET /fda/drug/{name}, showing the plain-language summary + warnings/recalls with a source label. Loading + no-data states.
DONE WHEN: Viewing a med shows its FDA safety info with attribution.
TEST: Open a med panel -> summary + source render; an unknown drug shows a graceful 'no FDA data' state, not an error.","P3,Web"
Phase 2 — Fan Out,P2-P3-6 Alerts list,"WHAT: A simple feed of actionable alerts (low-adherence, symptom flags). Lightweight — no queue/workflow.
DONE WHEN: Alerts list reflects current flags and links to the relevant case.
TEST: Create a low-adherence condition -> an alert appears; clicking it opens that case detail.","P3,Web"
Phase 2 — Fan Out,P2-P3-7 Empty / loading / error states (monitoring),"WHAT: Apply shared state components across all monitoring screens.
DONE WHEN: Every monitoring screen handles empty/loading/error.
TEST: Backend down -> friendly errors everywhere; no data -> empty states; slow network -> skeletons.","P3,Web"
Phase 2 — Fan Out,P2-P4-1 App setup,"WHAT: Scaffold Flutter with Riverpod (state), go_router (nav), Dio (HTTP), json_serializable + build_runner (models), flutter_secure_storage (tokens), theme from P0-8 (calm mobile, 44-48px targets, font scaling).
DONE WHEN: App boots with theming, navigation, and a Dio client pointed at a configurable base URL (mock -> localhost -> AWS).
TEST: App runs on emulator; changing the base-URL env switches mock<->local backend with no code change; a model round-trips JSON in a unit test.","P4,Mobile"
Phase 2 — Fan Out,P2-P4-2 Login / accept-invite onboarding,"WHAT: Login via AuthProvider (dev-login local, Cognito prod); accept-invite/first-run flow (open invite -> set password); consent & privacy notice; token stored securely.
DONE WHEN: A patient logs in (or accepts invite) and reaches the Today view.
TEST: Valid login -> Today view; invalid -> clear error; token persists across app restart; invite flow completes vs the Cognito dev pool.","P4,Mobile"
Phase 2 — Fan Out,P2-P4-3 Today view,"WHAT: Home screen: next dose, today schedule, quick-log shortcut, recovery glance. Reads case + medications + today reminders.
DONE WHEN: Today doses render with times and quick-log.
TEST: With a med '2x/day', Today shows both of today's doses; logging one updates the view immediately.","P4,Mobile"
Phase 2 — Fan Out,P2-P4-4 Medications list + detail (+ FDA display),"WHAT: List of prescribed meds; detail screen with dose/schedule + FDA plain-language safety from /fda/drug/{name} with a source label. Read-only (patient cannot self-prescribe).
DONE WHEN: All prescribed meds show; detail shows dosing + FDA safety.
TEST: Open a med -> see dose/schedule + FDA summary + source; there is NO 'add medication' control anywhere (clinician-locked).","P4,Mobile"
Phase 2 — Fan Out,P2-P4-5 Dose logging,"WHAT: Log each dose taken/missed/skipped in 1-2 taps with an easy undo, via POST /adherence/log. Works from Today and med detail.
DONE WHEN: Logging is 1-2 taps, reversible, and persists.
TEST: Tap Taken -> backend records it (verify via clinician adherence); Undo within window -> reverts. Log missed and skipped -> each stored with the right status.","P4,Mobile"
Phase 2 — Fan Out,P2-P4-6 Local notifications from schedule,"WHAT: Schedule local notifications (flutter_local_notifications) from the medication schedule; permission priming before the OS prompt; offline-capable (reminders fire without network), log syncs when back online; actionable from the notification where possible.
DONE WHEN: Reminders fire at scheduled times even offline; logging from a reminder syncs later.
TEST: Set a med for 1 minute ahead, airplane mode -> notification fires on time; log 'taken' offline -> it syncs to the backend when network returns.","P4,Mobile"
Phase 2 — Fan Out,P2-P4-7 Daily check-in + history,"WHAT: A 1-3 tap 'how do you feel?' check-in (3-4 options) -> POST /symptoms/checkin; a history/trend view (fl_chart).
DONE WHEN: A patient can check in once a day and see their trend.
TEST: Submit a check-in -> it appears in the clinician review (P3) and in the patient own trend chart.","P4,Mobile"
Phase 2 — Fan Out,P2-P4-8 AI chat UI,"WHAT: Chat screen calling POST /ai/chat with guardrail framing ('informational, not a diagnosis'), suggested starter questions, sourced-answer rendering, and an out-of-scope/safety state when the assistant declines. Spec from P1.
DONE WHEN: A patient can chat, see grounded answers with sources, and see the safe-decline state for out-of-scope questions.
TEST: Ask 'what is this medication for?' -> grounded answer + source; ask 'should I stop taking it?' -> safe decline state, not a medical instruction; history reloads when reopening the chat.","P4,Mobile"
Phase 2 — Fan Out,P2-P4-9 Recovery recommendations view + states,"WHAT: Show the clinician recommendations (activity, wound-care, physio, warning signs) grouped by type; apply empty/loading/error/offline states across the app.
DONE WHEN: Recommendations render grouped; all screens handle no-data/offline.
TEST: Clinician adds a 'warning-sign' rec -> it shows in the app under warnings; airplane mode -> cached content shows with an offline indicator, not a crash.","P4,Mobile"
Phase 2 — Fan Out,P2-P5-1 Models + Alembic migrations,"WHAT: SQLAlchemy 2.x models for all entities (P0-2 ERD) with relationships and enums; set up Alembic; generate the first migration.
DONE WHEN: 'alembic upgrade head' creates the full schema on a clean DB.
TEST: On empty Postgres: alembic upgrade head succeeds; alembic downgrade base reverses cleanly; tables + FKs match the ERD.","P5,Backend"
Phase 2 — Fan Out,P2-P5-2 Patients module,"WHAT: POST /patients, GET /patients/{id}, GET /patients/{id}/case; clinician<->patient linking per P0-10; ownership checks (a clinician sees only their patients).
DONE WHEN: CRUD works with authorization.
TEST: pytest: create patient -> fetch returns it; a different clinician gets 403; /patients/{id}/case returns the linked case.","P5,Backend"
Phase 2 — Fan Out,P2-P5-3 Cases module,"WHAT: POST /cases, GET /cases/{id}; status transitions (open/close/reopen); validation that the case belongs to the requesting clinician.
DONE WHEN: Cases create, read, and transition status.
TEST: pytest: create -> read -> close -> reopen; reading another clinician case returns 403.","P5,Backend"
Phase 2 — Fan Out,P2-P5-4 Medications module + schedule trigger,"WHAT: POST /cases/{id}/medications, GET /cases/{id}/medications; on create, generate scheduled_reminders rows from the schedule (frequency x duration), timezone-aware.
DONE WHEN: Creating a med materializes the correct reminder rows.
TEST: pytest: a med '2x/day for 7 days' creates exactly 14 reminders at the right times; GET returns the med with its schedule.","P5,Backend"
Phase 2 — Fan Out,P2-P5-5 Adherence (write + read),"WHAT: POST /adherence/log (taken/missed/skipped + undo, links to a reminder); GET /patients/{id}/adherence (aggregate rate, missed-dose patterns, time series for charts).
DONE WHEN: Logging writes a DoseLog; the read endpoint returns rates + series.
TEST: pytest: log 8 taken + 2 missed -> GET adherence returns 80% and a 10-point series; undo a log -> the rate recomputes.","P5,Backend"
Phase 2 — Fan Out,P2-P5-6 Recommendations module,"WHAT: POST /cases/{id}/recommendations, GET /cases/{id}/recommendations; typed records (activity/wound-care/physio/warning-sign).
DONE WHEN: Typed recommendations persist and read back grouped by type.
TEST: pytest: create one of each type -> GET returns four with correct types; invalid type -> 422.","P5,Backend"
Phase 2 — Fan Out,P2-P5-7 Symptoms module (write + read),"WHAT: POST /symptoms/checkin (feeling rating + answers + computed flags), GET /patients/{id}/symptoms (history for clinician review).
DONE WHEN: Check-ins persist with flags; history reads back chronologically.
TEST: pytest: submit 'feeling worse' -> stored with a flag; GET returns it newest-first; a flagged check-in is queryable for the dashboard.","P5,Backend"
Phase 2 — Fan Out,P2-P5-8 Module tests + schemas,"WHAT: Pydantic v2 schemas matching the OpenAPI contract for every module; pytest coverage for happy + auth + validation paths.
DONE WHEN: Each module has request/response schemas and passing tests.
TEST: pytest is green; responses validate against openapi.yaml (contract test); CI runs them on every PR.","P5,Backend"
Phase 3 — AWS Integration,P3-1 Provision RDS + run migrations,"WHAT: Stand up RDS PostgreSQL (prod), point DATABASE_URL at it, run alembic upgrade head, seed a demo clinician.
DONE WHEN: The prod schema exists on RDS.
TEST: Connect to RDS, confirm all tables present; the app starts vs RDS and /health is ok.","P1,AWS"
Phase 3 — AWS Integration,P3-2 Deploy backend to ECS Fargate,"WHAT: Build + push the image to ECR; run the ECS Fargate service behind an HTTPS load balancer; set prod .env (AUTH_PROVIDER=cognito, LLM_PROVIDER=bedrock, FDA_PROVIDER=live).
DONE WHEN: The API is reachable over HTTPS on a stable URL.
TEST: curl https://<lb-url>/health -> ok over TLS; CloudWatch shows request logs; a dev-login is rejected (prod uses Cognito) and a Cognito login works.","P1,AWS,DevOps"
Phase 3 — AWS Integration,P3-3 Flip provider toggles to AWS,"WHAT: Verify the Cognito + Bedrock + Guardrails adapters work in prod with no code change — only .env differs from local.
DONE WHEN: Auth = Cognito, AI = Bedrock+Guardrails, all live.
TEST: Log in via Cognito on the deployed app; ask the chatbot an out-of-scope question -> Guardrails block it. No code changed from local — only env.","P1,AWS"
Phase 3 — AWS Integration,P3-4 Repoint frontends + end-to-end smoke test,"WHAT: Set web + mobile base URL to the AWS API; build the web app (S3+CloudFront or Amplify Hosting) and the patient APK; walk the full golden loop on AWS.
DONE WHEN: The 7-step loop runs entirely on AWS.
TEST: Recorded run on the deployed stack: clinician (web on AWS) creates case+meds -> patient (APK) sees regimen, gets a reminder, logs a dose, asks the chatbot -> clinician sees adherence. PHASE-3 GATE.","P2,P3,P4,P1,Integration"
Phase 4 — Polish & Submit,P4-1 Lovable polish pass,"WHAT: Each owner polishes their screens: micro-interactions, copy, empty/error states, consistent spacing, loading skeletons, accessibility. Make it feel like v1.0, not v0.1.
DONE WHEN: No rough edges in the demo path.
TEST: A fresh user walks the golden loop without confusion or visible errors; AA contrast passes on demo screens.",all
Phase 4 — Polish & Submit,P4-2 User testing round 2 + survey,"WHAT: Run the survey + test with >=3 users (AWS Week-4 item, finalized here); record findings and the top 3 fixes; apply them.
DONE WHEN: Findings documented; top fixes shipped.
TEST: docs/user-testing.md has >=3 sessions + outcomes; each must-fix maps to a merged PR.",all
Phase 4 — Polish & Submit,P4-3 Record the demo video,"WHAT: Screen-record the full golden loop on AWS (clinician web + patient app), narrated, highlighting Bedrock + Guardrails + FDA + the closed adherence loop.
DONE WHEN: A clean demo video exists.
TEST: The video shows all 7 loop steps + the FDA panel + a Guardrails refusal, end-to-end on AWS, in one take.",all
Phase 4 — Polish & Submit,P4-4 Final report,"WHAT: Write the report: problem, solution, architecture (with the local-first/provider diagram), AWS services used, challenges, what is parked for v2.
DONE WHEN: Report complete and committed.
TEST: Report covers every AWS service actually used and matches the demo; a reader who never saw the code understands the architecture.",all
Phase 4 — Polish & Submit,P4-5 Pitch deck + Q&A prep,"WHAT: 5-minute deck: problem -> SLC solution -> live/loop demo -> AWS architecture -> differentiator (clinician-authored + Guardrails + FDA) -> roadmap (the parked list). Rehearse the 2-min Q&A.
DONE WHEN: Deck rehearsed within 5 minutes; Q&A answers prepared.
TEST: A timed dry-run lands <=5:00; the team has crisp answers to 'why AWS?', 'how is this clinical not consumer?', 'what's next?'.",all
Phase 4 — Polish & Submit,P4-6 README + docs cleanup,"WHAT: Finalize README.md (run locally in one command, env vars, architecture link), docs/architecture.md, docs/api.md. Ensure a stranger can run it.
DONE WHEN: A clean clone runs locally by following the README.
TEST: On a fresh machine, follow the README -> docker-compose up + the apps run, with no tribal knowledge needed.","P1,all"
